Freq,Thru
1122000000,-0.40491849
1123000000,-0.40441003
1124000000,-0.40389889
1125000000,-0.40339285
1126000000,-0.40288252
1127000000,-0.40237418
1128000000,-0.40186733
1129000000,-0.40135822
1130000000,-0.40085217
1131000000,-0.40034404
1132000000,-0.39984012
1133000000,-0.39933389
1134000000,-0.39882904
1135000000,-0.39832422
1136000000,-0.39781907
1137000000,-0.39731452
1138000000,-0.39681357
1139000000,-0.39631194
1140000000,-0.3958081
1141000000,-0.39530683
1142000000,-0.39480513
1143000000,-0.39430258
1144000000,-0.39380202
1145000000,-0.39330089
1146000000,-0.39279959
1147000000,-0.39230016
1148000000,-0.39180186
1149000000,-0.39130399
1150000000,-0.39080593
1151000000,-0.39031157
1152000000,-0.38981107
1153000000,-0.38931689
1154000000,-0.38882047
1155000000,-0.38832405
1156000000,-0.38782975
1157000000,-0.38733456
1158000000,-0.38684046
1159000000,-0.38634726
1160000000,-0.38585377
1161000000,-0.38536313
1162000000,-0.38487288
1163000000,-0.3843812
1164000000,-0.38389185
1165000000,-0.38340336
1166000000,-0.38291034
1167000000,-0.38242483
1168000000,-0.38193652
1169000000,-0.38144609
1170000000,-0.38096076
1171000000,-0.38047254
1172000000,-0.37998715
1173000000,-0.37950093
1174000000,-0.37901464
1175000000,-0.37853298
1176000000,-0.37804928
1177000000,-0.37756479
1178000000,-0.37708354
1179000000,-0.37659967
1180000000,-0.37611818
1181000000,-0.37563923
1182000000,-0.37515581
1183000000,-0.37467608
1184000000,-0.3741979
1185000000,-0.37371838
1186000000,-0.37323901
1187000000,-0.37276095
1188000000,-0.37228385
1189000000,-0.37180775
1190000000,-0.37132949
1191000000,-0.3708514
1192000000,-0.37037656
1193000000,-0.36990127
1194000000,-0.36942676
1195000000,-0.36895272
1196000000,-0.3684786
1197000000,-0.36800608
1198000000,-0.36753166
1199000000,-0.36706048
1200000000,-0.3665902
1201000000,-0.36611626
1202000000,-0.36564511
1203000000,-0.36517462
1204000000,-0.36470342
1205000000,-0.3642343
1206000000,-0.36376357
1207000000,-0.36329153
1208000000,-0.36282352
1209000000,-0.3623544
1210000000,-0.36188146
1211000000,-0.36141363
1212000000,-0.3609446
1213000000,-0.36047876
1214000000,-0.36001104
1215000000,-0.3595438
1216000000,-0.35907567
1217000000,-0.3586098
1218000000,-0.35814324
1219000000,-0.35767701
1220000000,-0.35721311
1221000000,-0.35674858
1222000000,-0.35628501
1223000000,-0.35582495
1224000000,-0.35536423
1225000000,-0.35490289
1226000000,-0.354442
1227000000,-0.35398579
1228000000,-0.35352632
1229000000,-0.35307264
1230000000,-0.35261616
1231000000,-0.3521606
1232000000,-0.35170603
1233000000,-0.35125163
1234000000,-0.35079959
1235000000,-0.350348
1236000000,-0.3498947
1237000000,-0.34944564
1238000000,-0.34899539
1239000000,-0.34854627
1240000000,-0.34809911
1241000000,-0.34765023
1242000000,-0.34720144
1243000000,-0.34675702
1244000000,-0.34631175
1245000000,-0.34586757
1246000000,-0.34542167
1247000000,-0.34497729
1248000000,-0.34453282
1249000000,-0.34409258
1250000000,-0.34364918
1251000000,-0.34320563
1252000000,-0.34276456
1253000000,-0.34232241
1254000000,-0.34188432
1255000000,-0.34144214
1256000000,-0.34100097
1257000000,-0.34056303
1258000000,-0.34012216
1259000000,-0.33968273
1260000000,-0.33924243
1261000000,-0.33880296
1262000000,-0.33836296
1263000000,-0.33792773
1264000000,-0.33749011
1265000000,-0.33705243
1266000000,-0.33661556
1267000000,-0.33617875
1268000000,-0.33574149
1269000000,-0.33530512
1270000000,-0.33486998
1271000000,-0.3344335
1272000000,-0.33399743
1273000000,-0.3335624
1274000000,-0.33312449
1275000000,-0.33269075
1276000000,-0.33225435
1277000000,-0.33181837
1278000000,-0.33138162
1279000000,-0.33094737
1280000000,-0.33051026
1281000000,-0.33007526
1282000000,-0.3296378
1283000000,-0.32920355
1284000000,-0.32877111
1285000000,-0.32833335
1286000000,-0.32789797
1287000000,-0.32746419
1288000000,-0.32703063
1289000000,-0.32659861
1290000000,-0.32616639
1291000000,-0.32573345
1292000000,-0.32530206
1293000000,-0.32487091
1294000000,-0.32443956
1295000000,-0.32400766
1296000000,-0.32357827
1297000000,-0.32314953
1298000000,-0.32272178
1299000000,-0.32229099
1300000000,-0.3218658
1301000000,-0.32143888
1302000000,-0.32101339
1303000000,-0.32058847
1304000000,-0.32016277
1305000000,-0.31973755
1306000000,-0.31931493
1307000000,-0.318892
1308000000,-0.31847003
1309000000,-0.31804824
1310000000,-0.31762704
1311000000,-0.31720707
1312000000,-0.31678507
1313000000,-0.31636685
1314000000,-0.31594655
1315000000,-0.31552911
1316000000,-0.31511226
1317000000,-0.31469345
1318000000,-0.31427643
1319000000,-0.31386116
1320000000,-0.31344536
1321000000,-0.31302947
1322000000,-0.31261533
1323000000,-0.31220084
1324000000,-0.31178883
1325000000,-0.31137574
1326000000,-0.31096172
1327000000,-0.31055039
1328000000,-0.31013954
1329000000,-0.30972904
1330000000,-0.30931938
1331000000,-0.3089093
1332000000,-0.30850053
1333000000,-0.3080934
1334000000,-0.30768678
1335000000,-0.30727825
1336000000,-0.30687129
1337000000,-0.30646744
1338000000,-0.30606145
1339000000,-0.30565736
1340000000,-0.30525163
1341000000,-0.30484948
1342000000,-0.30444452
1343000000,-0.3040444
1344000000,-0.30364135
1345000000,-0.30323991
1346000000,-0.30283758
1347000000,-0.3024376
1348000000,-0.30203688
1349000000,-0.30163816
1350000000,-0.30123866
1351000000,-0.30084196
1352000000,-0.30044234
1353000000,-0.30004588
1354000000,-0.29965091
1355000000,-0.29925364
1356000000,-0.29886013
1357000000,-0.29846483
1358000000,-0.29806939
1359000000,-0.29767564
1360000000,-0.29728332
1361000000,-0.29689053
1362000000,-0.29649857
1363000000,-0.29610536
1364000000,-0.29571494
1365000000,-0.2953243
1366000000,-0.29493365
1367000000,-0.29454342
1368000000,-0.29415315
1369000000,-0.29376575
1370000000,-0.2933763
1371000000,-0.29298884
1372000000,-0.29259968
1373000000,-0.29221416
1374000000,-0.29182431
1375000000,-0.29143906
1376000000,-0.29105264
1377000000,-0.29066622
1378000000,-0.29028144
1379000000,-0.28989732
1380000000,-0.28951281
1381000000,-0.28912973
1382000000,-0.28874612
1383000000,-0.28836226
1384000000,-0.28797829
1385000000,-0.28759441
1386000000,-0.28721407
1387000000,-0.2868309
1388000000,-0.28644934
1389000000,-0.28606716
1390000000,-0.28568465
1391000000,-0.28530332
1392000000,-0.28492278
1393000000,-0.28454104
1394000000,-0.28416207
1395000000,-0.28378269
1396000000,-0.28340343
1397000000,-0.28302392
1398000000,-0.28264555
1399000000,-0.28226542
1400000000,-0.28188717
1401000000,-0.28150883
1402000000,-0.28112999
1403000000,-0.28075129
1404000000,-0.2803753
1405000000,-0.2799997
1406000000,-0.27962241
1407000000,-0.27924442
1408000000,-0.27886987
1409000000,-0.27849385
1410000000,-0.27811846
1411000000,-0.27774271
1412000000,-0.27736944
1413000000,-0.27699327
1414000000,-0.27661967
1415000000,-0.27624604
1416000000,-0.27587476
1417000000,-0.27550152
1418000000,-0.27512956
1419000000,-0.27475789
1420000000,-0.27438694
1421000000,-0.27401838
1422000000,-0.2736465
1423000000,-0.27327663
1424000000,-0.27290666
1425000000,-0.27253774
1426000000,-0.27216801
1427000000,-0.2717998
1428000000,-0.27143249
1429000000,-0.27106473
1430000000,-0.27069822
1431000000,-0.27033067
1432000000,-0.26996624
1433000000,-0.26959941
1434000000,-0.26923591
1435000000,-0.26887029
1436000000,-0.26850599
1437000000,-0.26814258
1438000000,-0.26777887
1439000000,-0.26741526
1440000000,-0.26705301
1441000000,-0.26669067
1442000000,-0.26632941
1443000000,-0.26596677
1444000000,-0.26560798
1445000000,-0.26524672
1446000000,-0.26488617
1447000000,-0.26452628
1448000000,-0.26416698
1449000000,-0.26380873
1450000000,-0.2634491
1451000000,-0.26309159
1452000000,-0.26273507
1453000000,-0.26237845
1454000000,-0.26202062
1455000000,-0.26166436
1456000000,-0.26130903
1457000000,-0.26095033
1458000000,-0.26059526
1459000000,-0.26024053
1460000000,-0.25988638
1461000000,-0.25953054
1462000000,-0.25917828
1463000000,-0.25882313
1464000000,-0.25846949
1465000000,-0.25811625
1466000000,-0.25776199
1467000000,-0.25741002
1468000000,-0.25705874
1469000000,-0.25670442
1470000000,-0.25635284
1471000000,-0.25600216
1472000000,-0.25565186
1473000000,-0.25529936
1474000000,-0.25495017
1475000000,-0.25459862
1476000000,-0.25424924
1477000000,-0.25390002
1478000000,-0.25355053
1479000000,-0.2532025
1480000000,-0.25285336
1481000000,-0.2525056
1482000000,-0.25215822
1483000000,-0.25181022
1484000000,-0.25146434
1485000000,-0.25111821
1486000000,-0.25077292
1487000000,-0.25042596
1488000000,-0.25008005
1489000000,-0.24973564
1490000000,-0.24939093
1491000000,-0.24904773
1492000000,-0.24870293
1493000000,-0.24836218
1494000000,-0.24801865
1495000000,-0.24767733
1496000000,-0.24733464
1497000000,-0.24699405
1498000000,-0.24665374
1499000000,-0.24631275
1500000000,-0.24597289
1501000000,-0.24563454
1502000000,-0.24529395
1503000000,-0.24495538
1504000000,-0.24461818
1505000000,-0.2442798
1506000000,-0.24394049
1507000000,-0.24360242
1508000000,-0.24326648
1509000000,-0.24293025
1510000000,-0.24259412
1511000000,-0.24225681
1512000000,-0.24192095
1513000000,-0.24158439
1514000000,-0.24124873
1515000000,-0.24091402
1516000000,-0.24057883
1517000000,-0.24024445
1518000000,-0.23990926
1519000000,-0.23957622
1520000000,-0.2392413
1521000000,-0.23890804
1522000000,-0.2385748
1523000000,-0.23824327
1524000000,-0.23790942
1525000000,-0.23757809
1526000000,-0.23724522
1527000000,-0.23691569
1528000000,-0.23658462
1529000000,-0.23625489
1530000000,-0.23592497
1531000000,-0.23559506
1532000000,-0.23526709
1533000000,-0.23493832
1534000000,-0.23460905
1535000000,-0.23428234
1536000000,-0.23395485
1537000000,-0.23362722
1538000000,-0.23330109
1539000000,-0.23297426
1540000000,-0.23265007
1541000000,-0.23232457
1542000000,-0.23199899
1543000000,-0.23167536
1544000000,-0.23135163
1545000000,-0.23102887
1546000000,-0.23070642
1547000000,-0.23038429
1548000000,-0.23006284
1549000000,-0.22974223
1550000000,-0.22942081
1551000000,-0.22910151
1552000000,-0.22878054
1553000000,-0.22846317
1554000000,-0.22814511
1555000000,-0.22782636
1556000000,-0.22750978
1557000000,-0.22719234
1558000000,-0.22687638
1559000000,-0.22656211
1560000000,-0.22624649
1561000000,-0.22593156
1562000000,-0.22561868
1563000000,-0.22530538
1564000000,-0.22499257
1565000000,-0.22468032
1566000000,-0.22436793
1567000000,-0.22405705
1568000000,-0.22374658
1569000000,-0.22343431
1570000000,-0.22312535
1571000000,-0.22281563
1572000000,-0.22250803
1573000000,-0.22219855
1574000000,-0.22188972
1575000000,-0.22158225
1576000000,-0.22127585
1577000000,-0.22096823
1578000000,-0.22066113
1579000000,-0.22035652
1580000000,-0.22005083
1581000000,-0.21974623
1582000000,-0.21943906
1583000000,-0.21913579
1584000000,-0.21883127
1585000000,-0.21852711
1586000000,-0.21822405
1587000000,-0.21792236
1588000000,-0.21761802
1589000000,-0.21731685
1590000000,-0.21701454
1591000000,-0.21671346
1592000000,-0.21641028
1593000000,-0.21611068
1594000000,-0.21580963
1595000000,-0.21550933
1596000000,-0.21520786
1597000000,-0.21490967
1598000000,-0.21460959
1599000000,-0.21431004
1600000000,-0.21401086
1601000000,-0.21371165
1602000000,-0.21341275
1603000000,-0.21311535
1604000000,-0.21281739
1605000000,-0.21251929
1606000000,-0.21222153
1607000000,-0.21192485
1608000000,-0.21162845
1609000000,-0.21133207
1610000000,-0.21103604
1611000000,-0.21073925
1612000000,-0.21044458
1613000000,-0.21014829
1614000000,-0.20985217
1615000000,-0.20955831
1616000000,-0.20926459
1617000000,-0.20897067
1618000000,-0.20867787
1619000000,-0.20838335
1620000000,-0.2080915
1621000000,-0.20779835
1622000000,-0.20750582
1623000000,-0.20721468
1624000000,-0.20692277
1625000000,-0.20663308
1626000000,-0.2063425
1627000000,-0.20605204
1628000000,-0.20576134
1629000000,-0.2054733
1630000000,-0.20518254
1631000000,-0.20489457
1632000000,-0.20460685
1633000000,-0.20431827
1634000000,-0.20403127
1635000000,-0.20374414
1636000000,-0.20345862
1637000000,-0.20317282
1638000000,-0.20288597
1639000000,-0.20260011
1640000000,-0.20231509
1641000000,-0.20202965
1642000000,-0.201745
1643000000,-0.20146196
1644000000,-0.20117769
1645000000,-0.20089231
1646000000,-0.20060939
1647000000,-0.20032708
1648000000,-0.2000439
1649000000,-0.19976021
1650000000,-0.19947967
1651000000,-0.19919726
1652000000,-0.19891651
1653000000,-0.19863549
1654000000,-0.19835247
1655000000,-0.19807293
1656000000,-0.19779181
1657000000,-0.197511
1658000000,-0.19723175
1659000000,-0.1969528
1660000000,-0.19667247
1661000000,-0.19639486
1662000000,-0.1961152
1663000000,-0.19583762
1664000000,-0.19555825
1665000000,-0.19528046
1666000000,-0.19500288
1667000000,-0.19472496
1668000000,-0.19444846
1669000000,-0.19417067
1670000000,-0.19389394
1671000000,-0.19361745
1672000000,-0.19334206
1673000000,-0.19306552
1674000000,-0.19278987
1675000000,-0.19251509
1676000000,-0.19223934
1677000000,-0.19196552
1678000000,-0.19168931
1679000000,-0.19141577
1680000000,-0.19114213
1681000000,-0.19086748
1682000000,-0.19059411
1683000000,-0.19032158
1684000000,-0.19004902
1685000000,-0.18977486
1686000000,-0.18950261
1687000000,-0.18923131
1688000000,-0.18896106
1689000000,-0.18868899
1690000000,-0.1884186
1691000000,-0.18814778
1692000000,-0.1878781
1693000000,-0.18760845
1694000000,-0.18733893
1695000000,-0.18707013
1696000000,-0.18680166
1697000000,-0.18653424
1698000000,-0.18626574
1699000000,-0.18599746
1700000000,-0.18573073
1701000000,-0.18546356
1702000000,-0.18519627
1703000000,-0.18492968
1704000000,-0.1846645
1705000000,-0.18439734
1706000000,-0.18413079
1707000000,-0.18386562
1708000000,-0.18360154
1709000000,-0.18333629
1710000000,-0.18307205
1711000000,-0.18280722
1712000000,-0.18254216
1713000000,-0.18227881
1714000000,-0.18201356
1715000000,-0.18175063
1716000000,-0.18148592
1717000000,-0.18122229
1718000000,-0.18095855
1719000000,-0.18069413
1720000000,-0.1804307
1721000000,-0.18016711
1722000000,-0.17990196
1723000000,-0.17963874
1724000000,-0.17937376
1725000000,-0.17911032
1726000000,-0.17884496
1727000000,-0.17858133
1728000000,-0.17831734
1729000000,-0.17805278
1730000000,-0.1777896
1731000000,-0.17752476
1732000000,-0.17726029
1733000000,-0.17699678
1734000000,-0.17673258
1735000000,-0.17646918
1736000000,-0.17620517
1737000000,-0.1759415
1738000000,-0.17567828
1739000000,-0.17541437
1740000000,-0.17515133
1741000000,-0.17488821
1742000000,-0.17462634
1743000000,-0.17436337
1744000000,-0.17410134
1745000000,-0.17383765
1746000000,-0.17357673
1747000000,-0.17331529
1748000000,-0.17305312
1749000000,-0.1727912
1750000000,-0.17253038
1751000000,-0.17226882
1752000000,-0.1720092
1753000000,-0.1717478
1754000000,-0.17148787
1755000000,-0.17122978
1756000000,-0.17096905
1757000000,-0.17071086
1758000000,-0.17045294
1759000000,-0.17019393
1760000000,-0.16993733
1761000000,-0.16967906
1762000000,-0.16942216
1763000000,-0.1691657
1764000000,-0.16891028
1765000000,-0.16865233
1766000000,-0.16839828
1767000000,-0.16814242
1768000000,-0.16788813
1769000000,-0.16763355
1770000000,-0.16737837
1771000000,-0.16712667
1772000000,-0.1668746
1773000000,-0.16662024
1774000000,-0.16636884
1775000000,-0.16611698
1776000000,-0.16586469
1777000000,-0.16561253
1778000000,-0.16536228
1779000000,-0.1651125
1780000000,-0.16486149
1781000000,-0.16461046
1782000000,-0.16436048
1783000000,-0.16411345
1784000000,-0.16386317
1785000000,-0.16361496
1786000000,-0.16336541
1787000000,-0.1631164
1788000000,-0.16286837
1789000000,-0.16262184
1790000000,-0.162374
1791000000,-0.16212672
1792000000,-0.16188028
1793000000,-0.1616329
1794000000,-0.16138628
1795000000,-0.16113959
1796000000,-0.16089389
1797000000,-0.16064811
1798000000,-0.16040111
1799000000,-0.16015574
1800000000,-0.15991099
1801000000,-0.15966485
1802000000,-0.15941945
1803000000,-0.15917441
1804000000,-0.15892985
1805000000,-0.15868357
1806000000,-0.15844017
1807000000,-0.15819363
1808000000,-0.15795107
1809000000,-0.15770639
1810000000,-0.15746242
1811000000,-0.15721901
1812000000,-0.15697649
1813000000,-0.15673319
1814000000,-0.15649077
1815000000,-0.15624619
1816000000,-0.15600459
1817000000,-0.15576348
1818000000,-0.15552215
1819000000,-0.15528154
1820000000,-0.15503831
1821000000,-0.15479982
1822000000,-0.15455827
1823000000,-0.15431947
1824000000,-0.15407974
1825000000,-0.15384007
1826000000,-0.15360296
1827000000,-0.15336512
1828000000,-0.15312549
1829000000,-0.15288736
1830000000,-0.15265138
1831000000,-0.15241385
1832000000,-0.15217757
1833000000,-0.15194108
1834000000,-0.15170603
1835000000,-0.15147138
1836000000,-0.15123773
1837000000,-0.15100257
1838000000,-0.15076692
1839000000,-0.15053408
1840000000,-0.15030141
1841000000,-0.15006819
1842000000,-0.14983542
1843000000,-0.14960259
1844000000,-0.14937171
1845000000,-0.14913984
1846000000,-0.14890985
1847000000,-0.14867863
1848000000,-0.14844841
1849000000,-0.14821923
1850000000,-0.14798893
1851000000,-0.14775947
1852000000,-0.14753106
1853000000,-0.14730152
1854000000,-0.14707386
1855000000,-0.14684671
1856000000,-0.14661589
1857000000,-0.14638959
1858000000,-0.1461606
1859000000,-0.14593305
1860000000,-0.14570713
1861000000,-0.14548048
1862000000,-0.14525424
1863000000,-0.14502738
1864000000,-0.14480153
1865000000,-0.1445761
1866000000,-0.14435008
1867000000,-0.14412481
1868000000,-0.14389865
1869000000,-0.14367534
1870000000,-0.14344878
1871000000,-0.14322522
1872000000,-0.14299954
1873000000,-0.14277585
1874000000,-0.142552
1875000000,-0.14232792
1876000000,-0.14210343
1877000000,-0.14188239
1878000000,-0.14165705
1879000000,-0.14143416
1880000000,-0.14121082
1881000000,-0.14098923
1882000000,-0.14076711
1883000000,-0.14054529
1884000000,-0.14032245
1885000000,-0.14009975
1886000000,-0.13987826
1887000000,-0.13965698
1888000000,-0.13943619
1889000000,-0.13921575
1890000000,-0.13899472
1891000000,-0.13877505
1892000000,-0.13855587
1893000000,-0.13833599
1894000000,-0.13811646
1895000000,-0.13789839
1896000000,-0.13767776
1897000000,-0.1374606
1898000000,-0.13724381
1899000000,-0.1370243
1900000000,-0.13680843
1901000000,-0.1365909
1902000000,-0.13637468
1903000000,-0.13615808
1904000000,-0.13594049
1905000000,-0.13572454
1906000000,-0.13551079
1907000000,-0.13529713
1908000000,-0.13508093
1909000000,-0.13486715
1910000000,-0.13465075
1911000000,-0.13443846
1912000000,-0.1342245
1913000000,-0.13400976
1914000000,-0.13379771
1915000000,-0.13358273
1916000000,-0.13336951
1917000000,-0.13315867
1918000000,-0.13294566
1919000000,-0.13273458
1920000000,-0.1325229
1921000000,-0.13230966
1922000000,-0.13209869
1923000000,-0.13188732
1924000000,-0.13167682
1925000000,-0.13146472
1926000000,-0.13125515
1927000000,-0.13104428
1928000000,-0.13083437
1929000000,-0.13062505
1930000000,-0.13041493
1931000000,-0.13020484
1932000000,-0.12999672
1933000000,-0.129788
1934000000,-0.12957726
1935000000,-0.12936887
1936000000,-0.12916078
1937000000,-0.12895219
1938000000,-0.12874334
1939000000,-0.12853542
1940000000,-0.12832852
1941000000,-0.12812085
1942000000,-0.12791109
1943000000,-0.12770547
1944000000,-0.12749808
1945000000,-0.12729095
1946000000,-0.12708439
1947000000,-0.12687759
1948000000,-0.12667072
1949000000,-0.12646487
1950000000,-0.12625873
1951000000,-0.1260515
1952000000,-0.12584844
1953000000,-0.12564193
1954000000,-0.12543544
1955000000,-0.12523183
1956000000,-0.12502725
1957000000,-0.1248229
1958000000,-0.12461838
1959000000,-0.12441386
1960000000,-0.1242098
1961000000,-0.12400663
1962000000,-0.12380283
1963000000,-0.12360136
1964000000,-0.12339836
1965000000,-0.12319473
1966000000,-0.12299449
1967000000,-0.12279227
1968000000,-0.12259028
1969000000,-0.12238883
1970000000,-0.12218825
1971000000,-0.1219886
1972000000,-0.12178672
1973000000,-0.12158703
1974000000,-0.12138921
1975000000,-0.12118918
1976000000,-0.12098802
1977000000,-0.1207915
1978000000,-0.12059222
1979000000,-0.12039285
1980000000,-0.12019498
1981000000,-0.11999656
1982000000,-0.11979838
1983000000,-0.11960126
1984000000,-0.11940352
1985000000,-0.11920623
1986000000,-0.11900964
1987000000,-0.11881169
1988000000,-0.11861509
1989000000,-0.11841945
1990000000,-0.11822479
1991000000,-0.11802891
1992000000,-0.11783187
1993000000,-0.11763632
1994000000,-0.11744174
1995000000,-0.11724542
1996000000,-0.11705
1997000000,-0.11685563
1998000000,-0.11666108
1999000000,-0.11646655
2000000000,-0.11627172
2001000000,-0.11607858
2002000000,-0.11588617
2003000000,-0.11569007
2004000000,-0.11549701
2005000000,-0.11530331
2006000000,-0.11510888
2007000000,-0.11491708
2008000000,-0.11472234
2009000000,-0.11453041
2010000000,-0.11433858
2011000000,-0.11414658
2012000000,-0.11395313
2013000000,-0.11376058
2014000000,-0.11356986
2015000000,-0.11337709
2016000000,-0.11318877
2017000000,-0.1129956
2018000000,-0.11280715
2019000000,-0.11261488
2020000000,-0.1124246
2021000000,-0.112234
2022000000,-0.11204506
2023000000,-0.11185557
2024000000,-0.1116659
2025000000,-0.11147548
2026000000,-0.11128706
2027000000,-0.11110009
2028000000,-0.11091162
2029000000,-0.11072235
2030000000,-0.11053398
2031000000,-0.1103467
2032000000,-0.11015983
2033000000,-0.10997173
2034000000,-0.10978398
2035000000,-0.10959933
2036000000,-0.10941128
2037000000,-0.10922538
2038000000,-0.10903841
2039000000,-0.10885272
2040000000,-0.10866806
2041000000,-0.10848173
2042000000,-0.10829686
2043000000,-0.10811128
2044000000,-0.10792669
2045000000,-0.1077414
2046000000,-0.10755546
2047000000,-0.10737371
2048000000,-0.10718968
2049000000,-0.10700604
2050000000,-0.10682284
2051000000,-0.10663844
2052000000,-0.1064563
2053000000,-0.10627315
2054000000,-0.10609007
2055000000,-0.10590749
2056000000,-0.10572632
2057000000,-0.1055444
2058000000,-0.105362
2059000000,-0.10517992
2060000000,-0.10500042
2061000000,-0.10481877
2062000000,-0.10463743
2063000000,-0.10445664
2064000000,-0.10427611
2065000000,-0.10409454
2066000000,-0.10391487
2067000000,-0.1037347
2068000000,-0.10355486
2069000000,-0.10337486
2070000000,-0.10319623
2071000000,-0.10301662
2072000000,-0.10283514
2073000000,-0.10265729
2074000000,-0.10247903
2075000000,-0.10230029
2076000000,-0.10212105
2077000000,-0.10194334
2078000000,-0.10176478
2079000000,-0.10158692
2080000000,-0.10140913
2081000000,-0.10123143
2082000000,-0.10105419
2083000000,-0.1008761
2084000000,-0.1007001
2085000000,-0.10052291
2086000000,-0.10034673
2087000000,-0.10017075
2088000000,-0.099993713
2089000000,-0.099817485
2090000000,-0.099641837
2091000000,-0.09946657
2092000000,-0.099290639
2093000000,-0.09911678
2094000000,-0.098940507
2095000000,-0.098767415
2096000000,-0.09859363
2097000000,-0.098418169
2098000000,-0.098245785
2099000000,-0.098071501
2100000000,-0.097899452
2101000000,-0.097725689
2102000000,-0.097552374
2103000000,-0.097380422
2104000000,-0.097207434
2105000000,-0.097036228
2106000000,-0.096865155
2107000000,-0.096693285
2108000000,-0.096520983
2109000000,-0.096349984
2110000000,-0.09617994
2111000000,-0.096008822
2112000000,-0.095838062
2113000000,-0.095667243
2114000000,-0.095497377
2115000000,-0.095326819
2116000000,-0.095156804
2117000000,-0.094987616
2118000000,-0.094819285
2119000000,-0.094649002
2120000000,-0.094479896
2121000000,-0.09431085
2122000000,-0.094142772
2123000000,-0.093975104
2124000000,-0.093806297
2125000000,-0.09363842
2126000000,-0.093469746
2127000000,-0.093302704
2128000000,-0.093134932
2129000000,-0.092967771
2130000000,-0.092801914
2131000000,-0.092633866
2132000000,-0.092466377
2133000000,-0.092300653
2134000000,-0.092133962
2135000000,-0.09196768
2136000000,-0.091801725
2137000000,-0.091636151
2138000000,-0.091469921
2139000000,-0.091305375
2140000000,-0.091139436
2141000000,-0.090974644
2142000000,-0.090809539
2143000000,-0.090643704
2144000000,-0.090479694
2145000000,-0.090315841
2146000000,-0.090151519
2147000000,-0.089985862
2148000000,-0.089821868
2149000000,-0.089658573
2150000000,-0.089493692
2151000000,-0.089331768
2152000000,-0.089167692
2153000000,-0.08900407
2154000000,-0.08884073
2155000000,-0.088679016
2156000000,-0.088517651
2157000000,-0.088354044
2158000000,-0.088192269
2159000000,-0.08802963
2160000000,-0.087868214
2161000000,-0.087705068
2162000000,-0.087546706
2163000000,-0.087384425
2164000000,-0.087224714
2165000000,-0.087062217
2166000000,-0.086902328
2167000000,-0.086742312
2168000000,-0.08658319
2169000000,-0.086422361
2170000000,-0.08626312
2171000000,-0.086104073
2172000000,-0.085944653
2173000000,-0.085785426
2174000000,-0.085627288
2175000000,-0.085469089
